[2024-09-15 22:23:05] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-15 22:23:05] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-09-15 22:23:05] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-09-15 22:23:05] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-09-15 22:23:05] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-09-15 22:23:05] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-09-15 22:23:05] [class-ss-setup-task.php:33] Creating archive directory: /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1726438985/
[2024-09-15 22:23:05] [class-ss-setup-task.php:72] Adding origin URL to queue: http://kapselarecords.local/
[2024-09-15 22:23:05] [class-ss-setup-task.php:145] Adding files from directory: /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content
[2024-09-15 22:23:05] [class-ss-setup-task.php:150] Adding file /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/.DS_Store to queue as: http://kapselarecords.local/wp-content/.DS_Store
[2024-09-15 22:23:05] [class-ss-setup-task.php:150] Adding file /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/index.php to queue as: http://kapselarecords.local/wp-content/index.php
[2024-09-15 22:23:05] [class-ss-setup-task.php:150] Adding file /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/plugins/.DS_Store to queue as: http://kapselarecords.local/wp-content/plugins/.DS_Store
[2024-09-15 22:23:05] [class-ss-setup-task.php:150] Adding file /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/plugins/index.php to queue as: http://kapselarecords.local/wp-content/plugins/index.php
[2024-09-15 22:23:05] [class-ss-setup-task.php:150] Adding file /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/plugins/akismet/class.akismet-cli.php to queue as: http://kapselarecords.local/wp-content/plugins/akismet/class.akismet-cli.php
[2024-09-15 22:23:05] [class-ss-setup-task.php:150] Adding file /Users/tjhertz/Local Sites/kapselarecords/app/public/wp-content/plugins/akismet/class.akismet.php to queue as: http://kapselarecords.local/wp-content/plugins/akismet/class.akismet.php
